City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1208,Capim Grosso,-11.38,-40.01,86.31,47,89,9.22,BR,1604078079
1210,Assiut,27.18,31.18,82.4,54,0,18.34,EG,1604078080
1217,St. George's,12.06,-61.75,81.97,82,68,15.21,GD,1604078042
1222,Coquimbo,-29.95,-71.34,55.4,82,90,9.17,CL,1604077452
1227,Qasigiannguit,68.82,-51.19,19.4,67,75,3.36,GL,1604078083
1232,Zaria,11.11,7.72,82.22,31,4,8.08,NG,1604078084
1238,Atasū,48.68,71.64,35.33,77,0,4.52,KZ,1604078085
1239,Pauini,-7.71,-66.98,88.65,60,64,5.88,BR,1604078086
1244,Dārāb,28.75,54.54,57.67,33,0,1.83,IR,1604078087
1248,Malanje,-9.54,16.34,67.62,96,88,1.88,AO,1604078088
1259,Santa Cruz de la Sierra,-17.8,-63.17,84.2,35,75,24.16,BO,1604078090
1261,Ubari,26.59,12.78,69.69,38,0,11.79,LY,1604078090
1268,Sinnamary,5.38,-52.95,87.42,63,77,13.67,GF,1604078092
1284,Folldal,62.13,10,34.29,89,46,10.33,NO,1604078095
1302,Boa Vista,2.82,-60.67,93.2,49,75,12.75,BR,1604078099
1314,Bubaque,11.28,-15.83,85.68,56,65,6.91,GW,1604078102
1323,Manbij,36.53,37.95,66.2,55,75,4.68,SY,1604078104
1326,Pinerovka,51.56,43.07,44.24,89,100,11.83,RU,1604078105
1331,Moyale,3.52,39.06,67.89,85,100,4.79,KE,1604078106
1334,Mezen',65.85,44.24,34.34,95,100,11.3,RU,1604078107
1339,Shahreza,32.03,51.88,49.46,40,11,4.14,IR,1604078109
1342,Ibrā’,22.69,58.53,66.07,55,0,0.89,OM,1604078109
1347,Anapskaya,44.89,37.38,57.2,87,75,4.47,RU,1604078110
1348,Abu Samrah,35.3,37.18,68.99,44,100,3.94,SY,1604078110
1350,Porbandar,21.64,69.61,81.7,52,0,1.97,IN,1604078111
1354,Tutóia,-2.76,-42.27,91.4,52,20,21.92,BR,1604077841
1360,Zehdenick,52.98,13.33,55.99,97,100,1.99,DE,1604078113
1361,Ipameri,-17.72,-48.16,82.47,63,74,3.47,BR,1604078114
1366,São João da Barra,-21.64,-41.05,84.2,70,75,9.17,BR,1604078115
1367,Meulaboh,4.14,96.13,77.83,85,98,3.6,ID,1604077526
1370,Caconda,-13.73,15.07,69.49,67,100,1.66,AO,1604078116
1374,Maniitsoq,65.42,-52.9,23.56,87,89,3.56,GL,1604078117
1375,Palma de Mallorca,39.57,2.65,69.8,77,0,8.05,ES,1604077872
1376,Baijiantan,45.63,85.18,40.05,65,39,3.78,CN,1604078117
1386,Gualeguay,-33.14,-59.31,66.2,45,89,6.82,AR,1604078119
1387,Beruwala,6.48,79.98,79.75,82,33,4.27,LK,1604078120
1391,Honningsvåg,70.98,25.97,35.6,64,75,12.75,NO,1604077935
1397,Biltine,14.53,20.92,91.17,16,81,7.54,TD,1604078122
1398,Lewisville,33.05,-96.99,60.01,50,5,1.03,US,1604078043
1401,Puerto Rico,-26.8,-55.02,89.67,26,0,2.68,AR,1604078123
1407,Doha,25.29,51.53,84.2,62,0,8.05,QA,1604078005
1415,Puri,19.8,85.85,75.2,78,20,3.36,IN,1604078125
1417,Saraland,30.82,-88.07,57.99,71,90,17.22,US,1604078126
1418,Krasnoborsk,61.56,45.93,41.9,86,100,9.84,RU,1604078126
1424,Moultrie,31.18,-83.79,62.6,63,1,9.17,US,1604078128
1426,Thompson,55.74,-97.86,17.91,87,40,2.95,CA,1604078128
1428,Jacareacanga,-6.22,-57.75,87.12,62,100,4.72,BR,1604078129
1430,Marrakesh,31.63,-8.01,87.8,16,40,6.93,MA,1604078071
1432,Kot Radha Kishan,31.17,74.1,68,68,0,5.75,PK,1604078131
1434,Anif,47.75,13.07,51.8,93,75,1.12,AT,1604077959
